mean,max,min
22.4,36,19
21.8,35,18
22.2,36,18
21.8,35,18
21.8,35,18
22.2,35,18
21.8,35,18
22.2,36,18
22.2,37,18
22.2,36,18
22.2,35,18
22.2,36,18
21.2,32,18
21.2,28,19
21.4,29,19
21.2,33,18
21.8,35,18
21.8,35,18
21.8,35,18
21.8,35,18
21.8,35,18
21.8,35,18
21.8,35,18
21.8,35,18
20.8,34,17
2.0,2,2
3.2,4,3
1.4,3,1
2.4,4,2
5.8,9,5
22.4,35,18
22.2,35,18
20.2,34,16
21.8,35,18
20.6,33,17
19.0,29,16
11.0,16,9
8.0,9,7
20.6,33,17
20.6,32,17
14.2,20,10
19.8,30,16
15.0,17,14
20.4,24,17
47.0,72,27
15.6,18,9
14.4,17,12
12.2,15,11
18.2,23,12
16.0,33,10
9.2,11,7
7.4,8,6
11.6,14,5
17.4,34,9
8.4,12,5
11.2,13,5
10.2,16,6
5.0,5,5
5.0,5,5
6.0,6,6
4.4,5,4
5.2,6,5
5.8,6,5
6.2,7,6
12.4,26,7
17.2,19,15
26.0,43,12
23.2,35,15
30.2,50,21
15.2,22,7
17.0,21,10
15.2,36,10
11.8,35,5
15.8,34,8
12.2,34,5
6.0,11,4
11.0,35,5
16.6,35,11
7.0,9,6
23.8,35,20
30.6,66,20
18.0,21,13
20.6,24,18
19.4,31,14
19.6,22,18
17.8,22,15
7.6,23,3
7.2,8,7
5.0,12,3
15.0,21,10
20.0,34,11
20.4,27,12
20.2,27,16
6.8,9,6
5.8,6,5
6.0,6,6
5.2,6,5
8.8,10,8
15.4,19,9
20.0,22,17
12.6,18,10
12.8,19,9
17.2,20,14
10.4,17,7
5.0,5,5
14.8,18,9
5.4,6,5
5.0,5,5
5.4,6,5
4.2,5,4
5.0,5,5
4.0,4,4
4.6,5,4
4.0,4,4
4.8,5,4
6.0,8,4
8.2,11,5
8.0,9,5
8.2,10,7
9.6,13,8
7.4,8,6
8.2,9,7
8.4,10,6
10.8,14,8
11.0,18,7
16.2,21,12
14.0,24,6
9.8,11,7
9.4,12,6
8.6,17,5
9.2,12,5
9.0,11,6
15.8,20,14
14.2,18,11
10.8,15,9
9.0,10,8
8.8,10,8
9.6,12,9
9.6,11,9
8.4,11,7
12.6,21,10
15.8,20,13
8.0,9,5
10.2,11,10
9.0,10,5
9.0,10,7
6.6,10,4
16.6,18,14
10.8,17,7
9.4,15,8
9.8,14,6
18.4,33,13
10.6,15,7
11.0,14,9
10.6,13,10
11.0,17,9
12.0,18,10
6.8,8,6
8.6,11,7
6.2,8,5
11.6,15,9
8.2,11,7
6.6,8,5
5.6,6,5
6.8,9,6
7.0,8,6
13.6,19,9
24.0,35,20
19.2,31,15
12.6,16,10
14.0,19,11
32.0,80,17
19.6,29,7
18.2,21,16
25.2,31,16
25.0,35,7
29.0,36,20
25.8,36,20
14.8,22,6
8.0,9,7
17.0,33,10
10.2,11,9
13.0,18,7
9.8,12,9
11.8,17,8
10.2,16,8
11.2,20,9
23.4,44,9
7.2,8,6
6.2,7,6
21.8,37,17
24.0,34,19
5.2,6,5
9.2,16,7
9.8,14,8
15.8,18,10
14.8,23,11
20.4,33,13
22.2,34,18
9.4,11,8
9.6,11,9
8.2,11,7
8.2,16,6
21.6,32,18
10.4,19,8
14.8,19,9
19.4,22,18
15.8,21,3
5.0,9,3
2.4,3,2
1.0,3,0
2.2,7,1
1.2,5,0
0.6,2,0
0.4,2,0
0.8,2,0
0.6,3,0
0.6,2,0
1.0,4,0
0.4,2,0
0.4,2,0
0.2,1,0
0.4,2,0
0.2,1,0
0.4,2,0
2.2,11,0
0.2,1,0
1.8,9,0
1.6,8,0
1.4,7,0
4.0,20,0
2.0,10,0
9.6,27,0
5.8,17,0
3.2,8,0
8.0,17,0
2.8,10,0
4.6,8,0
15.6,37,0
7.4,12,0
4.6,8,0
7.6,19,0
5.4,14,0
3.6,6,0
7.6,10,5
3.8,7,0
19.8,37,14
8.2,14,1
8.4,21,0
6.2,13,0
7.0,15,0
9.6,13,1
16.8,33,0
13.0,36,0
10.6,16,6
22.4,30,15
25.6,32,17
7.2,8,7
9.0,12,7
6.0,6,6
6.4,7,6
8.8,11,7
8.2,10,7
14.0,24,7
9.0,11,8
11.0,21,7
27.8,34,21
10.8,16,9
10.8,16,9
15.6,31,11
8.6,11,7
19.2,29,8
5.6,6,5
11.2,23,7
9.0,11,7
12.4,19,10
26.0,35,22
21.4,27,8
22.0,32,7
21.2,25,7
10.2,11,9
12.2,17,10
10.6,12,10
7.4,8,6
7.2,9,6
24.2,37,19
15.0,21,9
9.6,11,9
12.4,15,11
13.4,24,8
16.0,19,8
15.4,19,12
14.2,18,7
11.0,14,10
9.2,11,8
8.8,10,8
17.4,33,11
11.0,13,10
17.4,32,13
10.6,12,10
19.4,36,13
18.8,19,18
13.4,16,9
20.8,38,14
26.2,46,8
21.8,35,17
16.0,22,14
14.0,23,9
21.8,34,18
18.4,22,17
21.6,33,18
9.0,10,8
11.2,12,10
23.2,33,20
9.0,10,7
20.8,27,13
19.4,23,16
11.8,13,11
9.6,10,9
10.0,10,10
8.2,9,8
9.2,10,9
21.2,26,19
8.2,9,8
21.8,34,17
11.6,14,9
11.8,14,11
22.8,35,14
21.8,35,18
17.2,22,15
9.8,10,9
24.0,35,20
7.0,7,7
22.6,34,19
23.2,35,19
11.2,15,10
13.6,18,10
20.8,32,17
9.4,10,9
14.0,18,10
17.0,20,9
21.6,35,17
21.8,27,19
26.0,35,23
9.2,10,9
15.8,17,14
8.6,9,8
18.0,22,17
7.2,8,7
6.6,8,6
7.0,8,6
7.8,10,5
7.0,10,3
11.0,18,9
10.4,13,9
7.6,10,3
8.8,10,7
11.2,12,10
10.6,11,10
6.8,9,4
14.2,17,6
6.4,9,4
8.6,12,5
15.6,19,7
3.4,5,2
3.4,4,3
2.2,3,2
2.8,3,2
3.0,4,2
4.8,6,2
10.8,15,2
3.8,6,2
8.6,14,2
4.0,6,2
6.6,9,3
6.6,10,2
12.4,14,6
11.6,13,11
10.4,11,10
10.0,12,9
12.8,15,11
10.4,13,8
1.8,2,1
1.2,2,1
1.2,2,1
2.0,3,1
1.0,1,1
2.0,4,0
3.2,6,2
2.6,4,2
1.8,2,1
2.8,4,2
1.4,2,1
1.0,1,1
2.2,5,1
0.8,1,0
1.0,1,1
0.8,1,0
0.8,1,0
0.2,1,0
0.2,1,0
0.2,1,0
0.2,1,0
0.2,1,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.4,1,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
0.0,0,0
1.0,1,1
1.0,1,1
1.2,2,1
2.0,2,2
2.0,3,1
1.2,3,0
0.4,1,0
1.0,2,0
1.2,3,0
1.0,2,0
1.2,3,0
0.8,2,0
1.0,2,0
0.4,1,0
1.2,2,1
1.0,2,0
1.0,2,0
2.0,4,1
1.8,4,1
1.8,3,1
3.0,6,1
1.2,3,0
1.6,5,0
1.2,3,0
1.2,3,0
2.0,6,0
1.4,4,0
0.8,1,0
1.0,2,0
0.8,2,0
0.6,1,0
0.6,1,0
1.2,2,1
1.2,2,1
2.2,3,2
2.2,4,1
2.2,4,1
2.6,5,2
2.8,5,2
2.6,5,2
3.8,8,2
2.2,7,1
1.6,4,1
2.4,6,1
1.4,5,0
2.2,7,1
1.8,5,1
1.6,4,1
3.0,7,2
2.8,6,2
0.0,0,0
0.4,1,0
0.2,1,0
0.4,1,0
0.2,1,0
0.4,1,0
0.0,0,0
1.2,4,0
1.8,4,0
0.2,1,0
1.0,5,0
2.8,12,0
1.4,6,0
2.4,7,1
1.6,5,0
2.6,9,0
2.6,6,1
3.8,7,2
1.6,5,0
3.4,7,1
4.2,15,0
2.4,10,0
2.8,7,1
5.4,14,2
7.0,16,2
2.2,8,0
3.6,8,1
2.6,8,1
2.6,8,1
2.4,7,1
2.4,8,1
4.6,12,0
5.6,13,1
6.2,9,4
2.4,7,1
4.4,12,1
8.8,13,1
4.4,10,0
2.6,6,0
2.0,5,0
2.0,5,1
2.4,7,1
2.2,7,0
2.4,7,1
2.4,5,1
6.0,14,3
3.4,8,1
3.2,7,1
3.8,7,1
4.8,11,3
6.2,11,4
3.2,6,1
3.2,7,0
3.4,5,1
6.4,8,4
10.0,12,8
8.8,12,6
7.4,9,7
5.2,8,3
4.4,6,1
2.6,4,0
4.6,10,0
2.6,5,0
4.6,14,0
3.6,12,1
8.2,11,4
5.4,9,0
6.4,8,5
3.6,6,0
1.8,4,0
5.0,7,1
3.4,6,0
5.8,9,1
2.8,8,0
4.8,13,0
2.8,7,0
3.6,10,1
2.6,6,0
6.6,9,5
1.8,3,1
2.4,6,1
1.0,3,0
1.8,6,0
0.6,2,0
0.4,2,0
0.6,2,0
1.6,6,0
3.0,11,0
1.2,2,1
0.6,2,0
0.8,2,0
0.8,1,0
1.0,1,1
1.0,1,1
2.2,4,1
1.0,1,1
0.2,1,0
0.0,0,0
2.0,3,1
1.6,2,1
0.4,1,0
1.0,1,1
1.6,2,1
2.4,3,1
1.0,2,0
4.2,6,3
4.6,6,4
3.2,4,2
7.2,13,5
5.8,7,4
7.6,10,2
10.4,13,7
15.6,26,9
12.0,15,10
18.4,35,10
8.2,10,7
15.2,30,11
6.6,8,5
6.0,8,5
11.4,13,9
10.0,12,8
13.2,22,10
12.6,16,9
7.8,9,7
8.4,10,7
7.2,8,7
8.4,10,7
7.6,10,7
7.8,9,7
9.0,10,8
20.6,30,15
18.0,22,13
16.2,18,14
15.2,23,11
20.4,35,12
17.4,24,11
20.4,32,15
17.8,23,16
16.4,23,12
21.2,23,16
19.0,23,14
19.0,22,14
20.2,24,16
13.8,15,11
14.8,20,11
19.2,22,16
19.0,21,17
20.2,21,19
19.0,22,16
19.2,21,18
14.6,18,12
7.0,7,7
8.4,9,8
7.2,8,7
7.0,7,7
8.0,8,8
19.0,22,14
7.8,8,7
7.2,8,7
9.0,9,9
11.2,12,10
9.0,10,8
11.4,12,11
34.6,58,21
18.4,21,15
23.8,29,19
18.2,22,14
17.0,20,13
19.8,21,18
16.8,19,13
8.6,9,8
18.0,20,16
17.2,20,13
18.4,22,14
15.8,18,14
29.0,38,20
12.0,13,11
16.8,19,15
11.4,12,11
21.0,29,15
19.4,28,15
24.4,28,20
15.4,19,13
21.4,35,16
28.6,31,24
18.6,21,15
18.8,26,12
23.4,31,17
16.6,19,15
23.4,37,16
14.4,17,12
37.8,63,24
16.8,22,14
17.2,22,14
21.0,33,17
28.8,31,26
30.2,35,21
17.6,22,13
17.8,22,14
16.0,18,14
26.8,56,19
26.2,57,15
42.4,98,22
37.2,42,30
16.6,19,13
25.4,30,20
20.8,30,15
27.0,58,15
19.8,28,17
21.8,29,16
20.4,24,17
19.2,30,13
19.8,24,14
20.4,24,18
17.2,19,15
19.0,22,14
26.2,45,14
25.2,63,14
18.0,26,13
19.0,27,13
20.2,22,15
24.2,48,17
21.6,35,15
20.4,24,18
18.2,25,14
17.4,21,14
19.4,35,13
29.4,83,14
23.8,32,14
25.2,47,17
21.8,33,14
34.4,74,18
18.4,27,13
19.2,23,14
23.0,45,13
24.4,35,19
26.4,37,21
58.2,108,22
23.2,35,16
18.6,23,15
19.8,24,14
22.0,27,17
31.0,74,14
48.2,90,18
23.8,34,18
31.0,37,24
30.2,41,23
25.0,29,23
9.0,10,8
30.6,43,19
20.8,26,10
38.8,105,17
24.8,30,12
21.2,29,9
8.6,9,8
18.8,24,9
25.6,35,19
9.2,10,9
21.2,27,12
16.6,26,11
9.2,10,8
22.4,28,11
9.2,10,9
22.6,32,14
21.8,31,14
7.8,8,7
23.4,26,19
10.0,11,9
18.8,25,14
14.8,20,11
15.2,19,12
27.0,41,13
23.8,29,14
18.8,21,13
18.8,27,13
21.0,26,15
26.6,34,20
17.6,19,17
20.4,28,18
20.0,23,16
25.4,35,19
30.2,38,26
24.6,28,20
9.8,10,9
16.8,20,13
28.0,32,25
12.4,13,11
16.2,22,12
8.4,9,8
16.4,18,13
26.8,35,22
12.4,15,11
16.8,23,14
20.0,33,14
22.4,28,15
20.4,26,18
11.4,12,10
19.2,21,16
11.4,14,10
31.2,77,13
20.8,30,14
22.2,26,19
17.2,25,12
25.4,36,19
11.2,12,10
19.2,26,13
17.8,24,11
21.2,26,17
18.8,20,17
16.4,20,13
24.6,29,20
24.4,35,19
24.8,31,20
22.8,34,19
18.6,20,18
19.4,33,1
12.0,13,10
23.6,36,18
21.8,24,19
22.0,28,19
15.2,16,14
21.2,23,19
13.4,14,12
22.2,29,18
21.2,25,19
21.8,35,18
21.6,34,18
15.2,16,14
9.2,10,9
5.8,6,5
3.0,3,3
2.8,3,2
1.2,2,1
1.8,2,1
2.0,2,2
1.0,1,1
1.0,1,1
1.0,1,1
0.4,1,0
1.0,1,1
0.0,0,0
1.0,1,1
1.4,2,1
1.0,1,1
1.2,2,1
1.0,1,1
0.0,0,0
1.0,1,1
1.0,1,1
0.2,1,0
0.2,1,0
0.0,0,0
1.0,1,1
0.2,1,0
1.2,2,1
1.0,1,1
1.0,1,1
0.2,1,0
1.2,2,1
1.0,1,1
0.2,1,0
0.2,1,0
0.4,1,0
0.2,1,0
0.2,1,0
0.4,1,0
0.2,1,0
0.2,1,0
0.2,1,0
0.4,1,0
0.2,1,0
0.6,1,0
0.2,1,0
1.0,1,1
0.2,1,0
1.0,1,1
0.2,1,0
0.6,1,0
0.8,1,0
0.4,1,0
0.8,1,0
0.2,1,0
0.6,1,0
0.2,1,0
0.2,1,0
0.0,0,0
0.0,0,0
0.0,0,0
0.2,1,0
0.0,0,0
0.0,0,0
0.0,0,0
0.2,1,0
0.2,1,0
0.4,1,0
0.8,1,0
0.6,1,0
0.2,1,0
0.4,1,0
0.8,1,0
0.6,1,0
0.0,0,0
0.8,1,0
0.6,1,0
0.2,1,0
0.0,0,0
0.2,1,0
0.0,0,0
0.0,0,0
0.8,1,0
0.6,1,0
0.6,1,0
0.4,1,0
0.2,1,0
0.6,1,0
0.4,1,0
0.2,1,0
0.0,0,0
0.4,1,0
0.2,1,0
0.0,0,0
0.4,1,0
0.6,1,0
0.6,2,0
0.4,1,0
0.4,1,0
0.4,1,0
0.2,1,0
0.2,1,0
0.0,0,0
0.4,1,0
0.0,0,0
0.2,1,0
0.6,1,0
0.4,1,0
0.6,1,0
0.2,1,0
0.4,1,0
0.4,1,0
0.6,1,0
0.6,1,0
0.4,1,0
0.4,1,0
0.6,1,0
0.6,1,0
1.0,1,1
0.4,1,0
0.6,1,0
0.6,1,0
0.2,1,0
0.4,1,0
0.6,2,0
0.4,1,0
0.4,1,0
0.4,1,0
0.8,1,0
0.4,1,0
1.0,3,0
1.0,2,0
0.8,1,0
0.2,1,0
0.6,1,0
0.8,1,0
0.4,1,0
0.8,1,0
0.6,1,0
1.2,3,0
2.0,3,1
1.0,2,0
0.6,1,0
0.4,1,0
1.0,2,0
1.0,2,0
0.6,1,0
0.8,1,0
0.8,1,0
0.4,1,0
0.8,1,0
0.8,1,0
0.8,1,0
0.2,1,0
0.6,1,0
0.8,1,0
0.6,1,0
0.0,0,0
0.2,1,0
0.8,1,0
0.4,1,0
0.2,1,0
0.4,1,0
0.2,1,0
0.2,1,0
0.2,1,0
0.4,1,0
0.4,1,0
0.2,1,0
0.0,0,0
0.8,1,0
0.8,1,0
0.2,1,0
0.6,1,0
0.6,1,0
1.6,6,0
1.2,3,0
1.2,4,0
0.8,1,0
0.6,1,0
1.6,4,0
1.4,4,0
0.8,1,0
0.8,1,0
0.4,1,0
0.4,1,0
0.6,1,0
0.6,1,0
0.6,1,0
1.4,4,0
1.4,4,0
1.4,4,0
1.4,4,0
1.4,4,0
1.4,4,0
